"X4","X5","X0","X6","X2","X1","X3"
"Fanca","Mobp","Clec3a","Caly","Lgals12","Krt19","Stfa3"
"Malt1","Prg2","Chad","Hand1","Ppara","T","Usp1"
"Lin28a","Casq1","Col2a1","Epha10","Tmem79","Krt8","Bbip1"
"Tonsl","Agt","Cnmd","Gprin1","Cidec","Arhgef16","Cks2"
"4930404N11Rik","Pgam2","Cilp2","Areg","Kcnk3","Tmem255a","Siah1b"
"Tbxas1","Fcrla","Angptl7","Hmx1","Otop1","Krt7","Xk"
"BC055324","Bach2","Abi3bp","Zdhhc22","Slc22a3","Ppfia4","Cdc7"
"Cdca7l","Atg5","Comp","Unc5a","Echdc3","Lyst","Hist3h2ba"
"Mcemp1","Nemf","Nfatc2","Kcnh7","Ebf2","Serpina1e","Dynlt1a"
"Rtel1","Myh7","Clec3b","Th","Pparg","Sostdc1","Lsm2"
"Cenpu","Ocstamp","Thbs4","Syn2","Cox7a1","Tmem163","Cdca2"
"Olfm4","Arhgef39","Fibin","Insm2","Ces1d","Adcy5","Tac2"
"Fignl1","Mbp","Extl1","Dbh","Gpd1","Jph2","Abt1"
"Tacc3","Cd79b","Cytl1","Vstm2l","Adig","Rab38","Hist2h2ab"
"Blm","Acp5","Scrg1","Ntrk1","Npr3","Car3","Uros"
"Galns","Acta1","Fmod","Hand2","Adrb3","Slc12a2","Phex"
"Stil","Spib","Col9a2","Phox2a","Klf15","Pde1a","Gtf2e1"
"Rad54l","Mpo","Ecm2","Ccdc184","Pck1","Fxyd6","Nuf2"
"Ube2c","Cd72","Pax1","B4galnt4","Papln","Slc2a1","Clspn"
"Ikzf3","Ctsk","Col14a1","Chga","Pld6","Hopx","Stat1"
"Ms4a3","Myl1","Prelp","Pcsk1n","Pdk4","Lgals3","Polr1b"
"Rinl","Mmp9","Chadl","Sncb","Cfd","Hspa12a","Taf11"
"Trmo","Clec12a","Emilin3","Vip","Adtrp","Gpc3","Nudt22"
"Haus5","Atp2a1","Calml3","Syngr3","Acaa1b","Ppp1r3c","Cep70"
"Itgam","Myh2","Trpv4","Nrsn2","Cyp2u1","Susd5","Sapcd2"
